Comment,Designator,Footprint,LCSC,Quantity
1k,"R2,R3,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R73",R_0402_1005Metric,C11702,27
10nF,"C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C38",C_0402_1005Metric,C15195,25
1uF,"C45,C46",C_0603_1608Metric,C15849,2
CPS1 KICK,J9,JST_EH_B10B-EH-A_1x10_P2.50mm_Vertical,C160365,1
100R,R1,R_0402_1005Metric,C25076,1
20k,"R17,R18,R21,R22",R_0402_1005Metric,C25765,4
5V TO DE10,J10,BarrelJack_Horizontal,C319099,1
20nF,"C37,C39",C_0402_1005Metric,C5448807,2
LM4871MX_NOPB,"U3,U4",SOIC127P599X175-8N,C7554,2
475R,"R101,R102,R103,R104,R105,R106,R107,R108,R109,R115,R116,R117,R118,R119,R120,R121,R122,R123,R124,R125,R126,R127,R128,R129,R130,R131,R132,R133,R134,R135,R136,R137,R138,R139,R140,R141,R19,R20,R202,R203,R204,R215,R216,R217,R218,R219,R220,R221,R222,R223,R224,R225,R226",R_0402_1005Metric,C852800,53
